num_projeto	data_apresentacao	autor	localizacao_atual	status	data_ultima_tram	ultima_acao	projeto
PLO 901/2020 - Projeto de Lei Ordinária	1 De Dezembro De 2020 	Poder Executivo - Executivo	Arquivo - Dl - Arq-Dl	Proposição Transformada Em Lei	8 De Dezembro De 2020	Proposição Convertida Em Lei Ordinária Nº 4 899 De 04 De Dezembro De 2020 Publicada No D O E Nº 237 De 04 De Dezembro De 2020	PLO
PLO 900/2020 - Projeto de Lei Ordinária	1 De Dezembro De 2020 	Poder Executivo - Executivo	Arquivo - Dl - Arq-Dl	Proposição Transformada Em Lei	8 De Dezembro De 2020	Proposição Convertida Em Lei Ordinária Nº 4 895 De 04 De Dezembro De 2020 Publicada No D O E Nº 237 De 04 De Dezembro De 2020	PLO
PLO 899/2020 - Projeto de Lei Ordinária	24 De Novembro De 2020 	Cirone Deiró	Cspas - Comissão De Saúde, Previdência E Assistência Social	Parecer Favorável Da Comissão	15 De Dezembro De 2020	Parecer Favorável	PLO
PLO 898/2020 - Projeto de Lei Ordinária	24 De Novembro De 2020 	Dr Neidson	Ccjr - Comissão De Constituição E Justiça E De Redação	Proposição Distribuída Às Comissões	1 De Dezembro De 2020	Ás Comissões Para Emitir Parecer	PLO
PLO 897/2020 - Projeto de Lei Ordinária	24 De Novembro De 2020 	Eyder Brasil	Ccjr - Comissão De Constituição E Justiça E De Redação	Proposição Distribuída Às Comissões	1 De Dezembro De 2020	Ás Comissões Para Emitir Parecer	PLO
PLO 896/2020 - Projeto de Lei Ordinária	24 De Novembro De 2020 	Alex Silva	Ccjr - Comissão De Constituição E Justiça E De Redação	Proposição Distribuída Às Comissões	1 De Dezembro De 2020	Ás Comissões Para Emitir Parecer	PLO
PLO 895/2020 - Projeto de Lei Ordinária	29 De Setembro De 2020 	Poder Judiciário - Justiça	Arquivo - Dl - Arq-Dl	Proposição Transformada Em Lei	11 De Dezembro De 2020	Proposição Convertida Em Lei Ordinária Nº 4 912 De 08 De Dezembro De 2020 Publicada No D O E Nº 239 De 08 De Dezembro De 2020	PLO
PLO 894/2020 - Projeto de Lei Ordinária	17 De Novembro De 2020 	Jhony Paixão	Cspas - Comissão De Saúde, Previdência E Assistência Social	Parecer Favorável Da Comissão	8 De Dezembro De 2020	Parecer Favorável	PLO
PLO 893/2020 - Projeto de Lei Ordinária	17 De Novembro De 2020 	Jhony Paixão	Ccjr - Comissão De Constituição E Justiça E De Redação	Proposição Distribuída Às Comissões	26 De Novembro De 2020	Ás Comissões Para Emitir Parecer	PLO
PLO 892/2020 - Projeto de Lei Ordinária	17 De Novembro De 2020 	Jhony Paixão	Ccjr - Comissão De Constituição E Justiça E De Redação	Proposição Distribuída Às Comissões	26 De Novembro De 2020	Ás Comissões Para Emitir Parecer	PLO
PLO 891/2020 - Projeto de Lei Ordinária	17 De Novembro De 2020 	Jhony Paixão	Ccjr - Comissão De Constituição E Justiça E De Redação	Proposição Distribuída Às Comissões	26 De Novembro De 2020	Ás Comissões Para Emitir Parecer	PLO
PLO 890/2020 - Projeto de Lei Ordinária	17 De Novembro De 2020 	Tribunal De Justiça - Presidente	Arquivo - Dl - Arq-Dl	Proposição Transformada Em Lei	11 De Dezembro De 2020	Proposição Convertida Em Lei Ordinária Nº 4 910 De 08 De Dezembro De 2020 Publicada No D O E Nº 239 De 08 De Dezembro De 2020	PLO
