"num_projeto";"data_apresentacao";"autor";"localizacao_atual";"status";"data_ultima_tram";"ultima_acao";"projeto";"data"
"PLO 194/2019 - Projeto de Lei Ordinária";"7 De Agosto De 2019 ";"Poder Executivo - Executivo";"Arquivo - Dl - Arq-Dl";"Proposição Transformada Em Lei";"26 De Agosto De 2019";"Proposição Convertida Em Lei Nº 4 559 De 23/08/2019 - Publicada No D O E Nº 157 Em 23/08/2019 Fim Do Processo Documentos Acessórios: 2";"PLO";2019-08-07
"PLO 193/2019 - Projeto de Lei Ordinária";"7 De Agosto De 2019 ";"Poder Executivo - Executivo";"Arquivo - Dl - Arq-Dl";"Proposição Transformada Em Lei";"2 De Setembro De 2019";"Proposição Convertida Em Lei Nº 4 567, De 30/08/2019, Publicada No D O E Nº 162, De 30/08/2019 - Fim Do Processo Documentos Acessórios: 2";"PLO";2019-08-07
"PLO 192/2019 - Projeto de Lei Ordinária";"7 De Agosto De 2019 ";"Poder Executivo - Executivo";"Arquivo - Dl - Arq-Dl";"Proposição Transformada Em Lei";"2 De Setembro De 2019";"Proposição Convertida Em Lei Nº 4 570, De 30/08/2019, Publicada No D O E Nº 162, De 30/08/2019 - Fim Do Processo Documentos Acessórios: 2";"PLO";2019-08-07
"PLO 191/2019 - Projeto de Lei Ordinária";"7 De Agosto De 2019 ";"Poder Executivo - Executivo";"Arquivo - Dl - Arq-Dl";"Proposição Transformada Em Lei";"26 De Agosto De 2019";"Proposição Convertida Em Lei Nº 4 553 De 23/08/2019 - Publicada No D O E Nº 157 Em 23/08/2019 Fim Do Processo Documentos Acessórios: 2";"PLO";2019-08-07
"PLO 190/2019 - Projeto de Lei Ordinária";"7 De Agosto De 2019 ";"Poder Executivo - Executivo";"Arquivo - Dl - Arq-Dl";"Proposição Transformada Em Lei";"26 De Agosto De 2019";"Proposição Convertida Em Lei Nº 4 558 De 23/08/2019 - Publicada No D O E Nº 157 Em 23/08/2019 Fim Do Processo Documentos Acessórios: 2";"PLO";2019-08-07
"PLO 189/2019 - Projeto de Lei Ordinária";"7 De Agosto De 2019 ";"Poder Executivo - Executivo";"Arquivo - Dl - Arq-Dl";"Proposição Transformada Em Lei";"26 De Agosto De 2019";"Proposição Convertida Em Lei Nº 4 549 De 23/08/2019 - Publicada No D O E Nº 157 Em 23/08/2019 Fim Do Processo Documentos Acessórios: 2";"PLO";2019-08-07
"PLO 188/2019 - Projeto de Lei Ordinária";"7 De Agosto De 2019 ";"Poder Executivo - Executivo";"Arquivo - Dl - Arq-Dl";"Proposição Transformada Em Lei";"26 De Agosto De 2019";"Proposição Convertida Em Lei Nº 4 552 De 23/08/2019 - Publicada No D O E Nº 157 Em 23/08/2019 Fim Do Processo Documentos Acessórios: 2";"PLO";2019-08-07
"PLO 187/2019 - Projeto de Lei Ordinária";"7 De Agosto De 2019 ";"Poder Executivo - Executivo";"Arquivo - Dl - Arq-Dl";"Proposição Transformada Em Lei";"26 De Agosto De 2019";"Proposição Convertida Em Lei Nº 4 546, De 22/08/2019, Publicada No D O E Nº 156, De 22/08/2019 - Fim Do Processo Documentos Acessórios: 2";"PLO";2019-08-07
"PLO 186/2019 - Projeto de Lei Ordinária";"7 De Agosto De 2019 ";"Poder Executivo - Executivo";"Arquivo - Dl - Arq-Dl";"Proposição Transformada Em Lei";"26 De Agosto De 2019";"Proposição Convertida Em Lei Nº 4 548 De 23/08/2019 - Publicada No D O E Nº 157 Em 23/08/2019 Fim Do Processo Documentos Acessórios: 3";"PLO";2019-08-07
"PLO 185/2019 - Projeto de Lei Ordinária";"7 De Agosto De 2019 ";"Poder Executivo - Executivo";"Arquivo - Dl - Arq-Dl";"Proposição Transformada Em Lei";"26 De Agosto De 2019";"Proposição Convertida Em Lei Nº 4 557 De 23/08/2019 - Publicada No D O E Nº 157 Em 23/08/2019 Fim Do Processo Documentos Acessórios: 2";"PLO";2019-08-07
"PLO 184/2019 - Projeto de Lei Ordinária";"25 De Junho De 2019 ";"Cirone Deiró";"Arquivo - Dl - Arq-Dl";"Parecer Da Ccjr Ou Da Cfo Pelo Arquivamento Da Proposição";"18 De Setembro De 2019";"Para Arquivamento Conforme Artigo 28-A, Inciso I Do Regimento Interno Desta Casa De Leis Documentos Acessórios: 2";"PLO";2019-06-25
