"";"num_projeto";"data_apresentacao";"autor";"localizacao_atual";"ementas";"status";"data_ultima_tram";"ultima_acao"
"936";"PLC 56/2019 - Projeto de Lei Complementar";"10 De Dezembro De 2019 ";"Poder Executivo - Executivo";"Arquivo - Dl - Arq-Dl";"Dispõe sobre o Sistema Único de Assistência Social - SUAS no Estado do Rondônia, altera e acrescenta dispositivos à Lei Complementar n° 145, de 27 de dezembro de 1995.";"Proposição Transformada Em Lei";"16 De Dezembro De 2019";"Proposição Convertida Em Lei Complementar Nº 1 052 De 12/12/2019 - Publicada No D O Nº 233 Em 12/12/2019 Fim Do Processo Documentos Acessórios: 2"
"937";"PLC 55/2019 - Projeto de Lei Complementar";"10 De Dezembro De 2019 ";"Poder Executivo - Executivo";"Arquivo - Dl - Arq-Dl";"Disciplina a locação de imóveis sob medida, no âmbito da Administração Pública Estadual Direta e Indireta e dá nova redação ao artigo 30 da Lei Complementar Estadual nº 609, de 18 de fevereiro de 2011 e acresce o artigo 6º-A ao Decreto-Lei nº 17, de 25 maio de 1982.";"Proposição Transformada Em Lei";"16 De Dezembro De 2019";"Proposição Convertida Em Lei Complementar Nº 1 051 De 12/12/2019 - Publicada No D O Nº 233 Em 12/12/2019 Fim Do Processo Documentos Acessórios: 2"
"938";"PLC 54/2019 - Projeto de Lei Complementar";"3 De Dezembro De 2019 ";"Jair Montes";"Arquivo - Dl - Arq-Dl";"Altera a redação da Lei Complementar 622/2011, alterada pela Lei Complementar 701/2013, e dá outras providências.";"Parecer Da Ccjr Ou Da Cfo Pelo Arquivamento Da Proposição";"7 De Abril De 2020";"Para Arquivamento Conforme Artigo 28-A, Inciso I Do Regimento Interno Desta Casa De Leis Documentos Acessórios: 1"
"939";"PLC 53/2019 - Projeto de Lei Complementar";"3 De Dezembro De 2019 ";"Anderson Pereira";"Cetl - Comissão De Esporte, Turismo E Lazer";"Transforma em Estância Turística o Município de Espigão D’Oeste, no âmbito do Estado de Rondônia.";"Parecer Favorável Da Comissão De Constituição E Justiça";"10 De Março De 2020";"Parecer Favorável Sobre A Proposição A Comissão De Destino Para Emitir Parecer"
"940";"PLC 52/2019 - Projeto de Lei Complementar";"3 De Dezembro De 2019 ";"Poder Executivo - Executivo";"Arquivo - Dl - Arq-Dl";"Dá nova redação e acrescenta dispositivos à Lei Complementar n° 1.033, de 22 de agosto de 2019, que ‘Cria o Fundo Estadual - FUN-HEURO para Financiar a Implantação do Hospital de Urgência e Emergência de Porto Velho e dá outras providências.";"Proposição Transformada Em Lei";"11 De Dezembro De 2019";"Proposição Convertida Em Lei Complementar Nº 1 050 De 09/12/2019 - Publicada No D O E Nº 230 Em 09/12/2019 Fim Do Processo Documentos Acessórios: 2"
"941";"PLC 51/2019 - Projeto de Lei Complementar";"12 De Novembro De 2019 ";"Jair Montes";"Arquivo - Dl - Arq-Dl";"Altera a redação dos incisos, III do art. 6º ae II do art. 7º, acrescenta o inciso VIII ao art. 8º e acrescenta os arts. 16-B e 16-C, a Lei Complementar 701/2013 e dá outras providências.";"Proposição Retirada Pelo Autor";"21 De Janeiro De 2020";"Proposição Retirada Pelo Autor, Por Meio Do Memorando Nº 540/19 Documentos Acessórios: 1"
"942";"PLC 50/2019 - Projeto de Lei Complementar";"12 De Novembro De 2019 ";"Poder Executivo - Executivo";"Arquivo - Dl - Arq-Dl";"Altera dispositivos da Lei Complementar nº 948, de 4 de julho de 2017.";"Proposição Transformada Em Lei";"18 De Novembro De 2019";"Proposição Convertida Em Lei Complementar Nº 1 045 De 18/11/2019 - Publicada No D O E Nº 215 Em 18/11/2019 Fim Do Processo Documentos Acessórios: 2"
"943";"PLC 49/2019 - Projeto de Lei Complementar";"5 De Novembro De 2019 ";"Chiquinho Da Emater";"Departamento Legislativo - Dl";"Institui, no âmbito do Estado de Rondônia, a Estância Turística Guaporé, formada pelos municípios de Cabixi e de Pimenteiras do Oeste.";"Prazo Vencido Na Comissão";"11 De Março De 2020";"Prazo Vencido Na Comissão Pertinente"
"944";"PLC 48/2019 - Projeto de Lei Complementar";"5 De Novembro De 2019 ";"Mesa Diretora - Presidente";"Arquivo - Dl - Arq-Dl";"Altera e acrescenta dispositivos à Lei Complementar nº 967, de 10 de janeiro de 2018, que ""Estabelece a Estrutura Organizacional Administrativa e o Quadro Gerencial e de Assessoramento da Assembleia Legislativa do Estado de Rondônia"".";"Proposição Transformada Em Lei";"14 De Novembro De 2019";"Proposição Convertida Em Lei Complementar Nº 1 044 De 14/11/2019 - Publicada No D O E Nº 214 Em 14/11/2019 Fim Do Processo Documentos Acessórios: 2"
"945";"PLC 47/2019 - Projeto de Lei Complementar";"5 De Novembro De 2019 ";"Defensoria Pública Do Estado - Defensor Geral";"Arquivo - Dl - Arq-Dl";"Altera o Quadro de Cargos de Direção Superior e Assessoramento, o Quadro de Membros e a Tabela de Cargos de Assessor de Defensor Público da Defensoria Pública do Estado de Rondônia";"Proposição Transformada Em Lei";"29 De Novembro De 2019";"Proposição Convertida Em Lei Complementar Nº 1 048 De 28/11/2019 - Publicada No D O E Nº 223 Em 28/11/2019 Fim Do Processo Documentos Acessórios: 2"
